,dmg,dmp,rmp,densidade,estoque_c,na,icv,altura,diam_espiga,comp_espiga,n_plantas,n_espigas,n_espigas_com,peso_espigas,produtividade
dmg,1.0,0.6981534924945856,0.9225962165224779,-0.043633428935907444,-0.04205682364576531,0.06345739475029924,0.053157609972566446,0.05386179390838878,0.09158634850469931,0.2980798365925921,0.10328847363911789,0.07972001144329884,0.0715153980244131,0.07681707175253348,0.0715153980244131
dmp,0.6981534924945856,1.0,0.9203029664190492,-0.03314832163003404,-0.03383591179918736,0.006513209730904044,0.09189311015680755,0.1371698460842603,0.14716744381497385,0.3868138490965925,0.056437163059389193,0.10376245493348803,0.23436561138760434,0.2347289783817735,0.23436561138760434
rmp,0.9225962165224779,0.9203029664190492,1.0,-0.04170303221835285,-0.04121203511477245,0.03818366219306063,0.07856006728216795,0.10334084964016302,0.12934110135631924,0.37129894682404696,0.08684806810474101,0.09946966038350313,0.1653580913297422,0.16845080668879284,0.1653580913297422
densidade,-0.043633428935907444,-0.03314832163003404,-0.04170303221835285,1.0,0.9722391638793646,-0.035102762884327454,0.24392627802610242,0.051541210938535226,0.015109573167625297,0.07600452645324476,0.1250914749595205,0.07650715691064476,-0.0012844134519066097,0.01244417894661711,-0.0012844134519066097
estoque_c,-0.04205682364576531,-0.03383591179918736,-0.04121203511477245,0.9722391638793646,1.0,-0.012763567845841298,0.26898640253444167,0.1464534537042013,0.017945046512573216,0.14710703659234406,0.14077497947964535,0.12156167220227747,0.05597670713077783,0.0764399099389777,0.05597670713077783
na,0.06345739475029924,0.006513209730904044,0.03818366219306063,-0.035102762884327454,-0.012763567845841298,1.0,0.07380272735215201,0.15572962265650303,-0.057522960947444704,0.2971295919756543,-0.10083232891368878,0.007634327582011584,0.20986290764203455,0.24818503033689188,0.20986290764203455
icv,0.053157609972566446,0.09189311015680755,0.07856006728216795,0.24392627802610242,0.26898640253444167,0.07380272735215201,1.0,0.30802441661449315,0.08047311275128,0.35105319045086364,-0.16244595928903488,-0.16708942216693345,0.13804837483576224,0.1851165268709248,0.13804837483576224
altura,0.05386179390838878,0.1371698460842603,0.10334084964016302,0.051541210938535226,0.1464534537042013,0.15572962265650303,0.30802441661449315,1.0,0.38653630556162283,0.3360310808543516,-0.02414163062338599,0.18788109128111977,0.7300120873112508,0.7628330992895269,0.7300120873112508
diam_espiga,0.09158634850469931,0.14716744381497385,0.12934110135631924,0.015109573167625297,0.017945046512573216,-0.057522960947444704,0.08047311275128,0.38653630556162283,1.0,0.08982885675192599,0.2952328928134764,0.2843659586187527,0.4021414943589855,0.40891949995173044,0.4021414943589855
comp_espiga,0.2980798365925921,0.3868138490965925,0.37129894682404696,0.07600452645324476,0.14710703659234406,0.2971295919756543,0.35105319045086364,0.3360310808543516,0.08982885675192599,1.0,0.029905305741988037,0.20509310410450146,0.40281404982002394,0.490255742361018,0.40281404982002394
n_plantas,0.10328847363911789,0.056437163059389193,0.08684806810474101,0.1250914749595205,0.14077497947964535,-0.10083232891368878,-0.16244595928903488,-0.02414163062338599,0.2952328928134764,0.029905305741988037,1.0,0.8270402769663544,0.15134699767202414,0.09207607362836898,0.15134699767202414
n_espigas,0.07972001144329884,0.10376245493348803,0.09946966038350313,0.07650715691064476,0.12156167220227747,0.007634327582011584,-0.16708942216693345,0.18788109128111977,0.2843659586187527,0.20509310410450146,0.8270402769663544,1.0,0.5129912316439756,0.4513568582379643,0.5129912316439756
n_espigas_com,0.0715153980244131,0.23436561138760434,0.1653580913297422,-0.0012844134519066097,0.05597670713077783,0.20986290764203455,0.13804837483576224,0.7300120873112508,0.4021414943589855,0.40281404982002394,0.15134699767202414,0.5129912316439756,1.0,0.9732899403482835,1.0
peso_espigas,0.07681707175253348,0.2347289783817735,0.16845080668879284,0.01244417894661711,0.0764399099389777,0.24818503033689188,0.1851165268709248,0.7628330992895269,0.40891949995173044,0.490255742361018,0.09207607362836898,0.4513568582379643,0.9732899403482835,1.0,0.9732899403482834
produtividade,0.0715153980244131,0.23436561138760434,0.1653580913297422,-0.0012844134519066097,0.05597670713077783,0.20986290764203455,0.13804837483576224,0.7300120873112508,0.4021414943589855,0.40281404982002394,0.15134699767202414,0.5129912316439756,1.0,0.9732899403482834,1.0
